N_FORAGE_TYPES,FORAGE_TYPE_NAME,TOTAL_AREA_BY_FORAGE_TYPE,AREA_UNIT,TIME_VECTOR_FORAGE_TYPE,forage_type_avail_vector1,forage_type_avail_vector2,forage_type_avail_vector3,forage_type_avail_vector4,forage_type_avail_vector5,forage_type_avail_vector6,forage_type_avail_vector7,forage_type_avail_vector8,forage_type_avail_vector9,forage_type_avail_vector10,forage_type_avail_vector11,forage_type_avail_vector12,forage_type_avail_vector13,forage_type_avail_vector14,forage_type_avail_vector15,forage_type_avail_vector16,forage_type_avail_vector17,forage_type_avail_vector18,forage_type_avail_vector19,forage_type_avail_vector20,forage_type_avail_vector21,forage_type_avail_vector22,forage_type_avail_vector23,forage_type_avail_vector24,forage_type_avail_vector25,forage_type_avail_vector26,forage_type_avail_vector27,forage_type_avail_vector28,forage_type_avail_vector29,forage_type_avail_vector30,forage_type_avail_vector31,forage_type_avail_vector32,forage_type_avail_vector33,forage_type_avail_vector34,forage_type_avail_vector35,forage_type_avail_vector36,forage_type_avail_vector37,forage_type_avail_vector38,forage_type_avail_vector39,forage_type_avail_vector40,forage_type_avail_vector41,forage_type_avail_vector42,forage_type_avail_vector43,forage_type_avail_vector44,forage_type_avail_vector45,forage_type_avail_vector46,forage_type_avail_vector47,forage_type_avail_vector48,forage_type_avail_vector49,forage_type_avail_vector50,FOOD_BIOMASS,FOOD_BIOMASS_UNCERTAINTY,METABOLIZABLE_ENERGY,METABOLIZABLE_ENERGY_UNCERTAINTY,ENERGY_UNIT,RATE_OF_CHANGE_RESERVE,RATE_OF_CHANGE_AVAILABLE,CARRYING_CAPACITY,N_FORAGING_GUILDS,FORAGING_GUILD_NAME,forage_type_pref1,forage_type_pref2,TIME_VECTOR_POP,population_vector1,population_vector2,TIME_VECTOR_DEE,DEE_guild1,DEE_guild2,DEE_UNCERTAINTY,POP_UNCERTAINTY
,AR_PUBLIC_shrub swamp,145.62991687681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.15,0,0.05,,0,0,,,,0.02,0.0526315789473684,152,2032960,386057,152,276.1,221.4,,
,AR_PUBLIC_soybeans,3.75788206407975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1334,0.15,2650,0.05,,-0.01083,-0.01083,,,,0.02,0,167,1741216,330655,167,276.1,221.4,,
,AR_PUBLIC_woody wetlands,16584.1361740003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.7557761688727,0.15,2760,0.05,,-3.7e-05,-3.7e-05,,,,0.02,0.0526315789473684,183,1067193,202659,183,276.1,221.4,,
,LA_Private_corn,18.2679259405749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,0.15,3670,0.05,,-0.00465,-0.00465,,,,0.02,0,210,55662,105703,210,276.1,221.4,,
,LA_Private_open-aquatic,11628.3528035841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0.15,2868,0.05,,0,0,,,,0.02,0,,,,,,,,
,LA_Private_rice,1067.58342189153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0.15,3340,0.05,,-0.00213,-0.00213,,,,0.02,0,,,,,,,,
,LA_Private_sorghum,25.9918324530256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,0.15,3490,0.05,,-0.003222222,-0.003222222,,,,0.02,0,,,,,,,,
,LA_Private_soybeans,772.645020053494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.15,2650,0.05,,-0.01083,-0.01083,,,,0.02,0,,,,,,,,
,LA_Private_wetland,5588.88025422369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.15,2470,0.05,,-0.002992857,-0.002992857,,,,0.02,0,,,,,,,,
,LA_Private_woody wetlands,31907.5807449981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.429,0.15,2760,0.05,,-3.7e-05,-3.7e-05,,,,0.02,0.0526315789473684,,,,,,,,
,LA_Private_wrp,2612.66331442942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.15,2470,0.05,,-0.000544175,-0.000544175,,,,0.02,0.0526315789473684,,,,,,,,
,LA_PUBLIC_millet,127.928039887574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.131688074835,0.15,2610,0.05,,-0.004777777,-0.004777777,,,,0.02,0,,,,,,,,
,LA_PUBLIC_moist-soil,690.51316891594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.15,2470,0.05,,-0.002992857,-0.002992857,,,,0.02,0.0526315789473684,,,,,,,,
,LA_PUBLIC_open-aquatic,3.01539571540657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0.15,2868,0.05,,0,0,,,,0.02,0,,,,,,,,
,LA_PUBLIC_rice,151.823247383592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.133430629287,0.15,3340,0.05,,-0.00213,-0.00213,,,,0.02,0,,,,,,,,
,LA_PUBLIC_shrub swamp,18.719347883863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.15,0,0.05,,0,0,,,,0.02,0.0526315789473684,,,,,,,,
,LA_PUBLIC_woody wetlands,557.274302408336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.386337444919,0.15,2760,0.05,,-3.7e-05,-3.7e-05,,,,0.02,0.0526315789473684,,,,,,,,
,OK_Private_corn,7.63957146045827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,0.15,3670,0.05,,-0.00465,-0.00465,,,,0.02,0,,,,,,,,
,OK_Private_open-aquatic,7492.24912482839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0.15,2868,0.05,,0,0,,,,0.02,0,,,,,,,,
,OK_Private_soybeans,43.8637549067038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.15,2650,0.05,,-0.01083,-0.01083,,,,0.02,0,,,,,,,,
,OK_Private_wetland,89.592076262416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.15,2470,0.05,,-0.002992857,-0.002992857,,,,0.02,0,,,,,,,,
,OK_Private_woody wetlands,334.65812702234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.429,0.15,2760,0.05,,-3.7e-05,-3.7e-05,,,,0.02,0.0526315789473684,,,,,,,,
,OK_Private_wrp,311.840826326998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.15,2470,0.05,,-0.000544175,-0.000544175,,,,0.02,0.0526315789473684,,,,,,,,
,OK_PUBLIC_millet,5.44220639388528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,0.15,2610,0.05,,-0.004777777,-0.004777777,,,,0.02,0,,,,,,,,
,OK_PUBLIC_moist-soil,1642.68995811056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.15,2470,0.05,,-0.002992857,-0.002992857,,,,0.02,0.0526315789473684,,,,,,,,
,OK_PUBLIC_open-aquatic,32.131122931796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0.15,2868,0.05,,0,0,,,,0.02,0,,,,,,,,
,OK_PUBLIC_soybeans,8.02686791002142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697,0.15,2650,0.05,,-0.01083,-0.01083,,,,0.02,0,,,,,,,,
,OK_PUBLIC_woody wetlands,384.503263423952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.6449731209964,0.15,2760,0.05,,-3.7e-05,-3.7e-05,,,,0.02,0.0526315789473684,,,,,,,,
,TX_Private_corn,1.96778691043538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,0.15,3670,0.05,,-0.00465,-0.00465,,,,0.02,0,,,,,,,,
,TX_Private_open-aquatic,17813.7707367951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0.15,2868,0.05,,0,0,,,,0.02,0,,,,,,,,
,TX_Private_rice,53.828366102642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0.15,3340,0.05,,-0.00213,-0.00213,,,,0.02,0,,,,,,,,
,TX_Private_sorghum,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,0.15,3490,0.05,,-0.003222222,-0.003222222,,,,0.02,0,,,,,,,,
,TX_Private_soybeans,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.15,2650,0.05,,-0.01083,-0.01083,,,,0.02,0,,,,,,,,
,TX_Private_wetland,4149.91351722112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.15,2470,0.05,,-0.002992857,-0.002992857,,,,0.02,0,,,,,,,,
,TX_Private_woody wetlands,16889.4799389005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.429,0.15,2760,0.05,,-3.7e-05,-3.7e-05,,,,0.02,0.0526315789473684,,,,,,,,
,TX_Private_wrp,95.6981216709458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.15,2470,0.05,,-0.000544175,-0.000544175,,,,0.02,0.0526315789473684,,,,,,,,
,TX_PUBLIC_moist-soil,111.661088997999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.15,2470,0.05,,-0.002992857,-0.002992857,,,,0.02,0.0526315789473684,,,,,,,,
,TX_PUBLIC_open-aquatic,19.772541488662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0.15,2868,0.05,,0,0,,,,0.02,0,,,,,,,,
,TX_PUBLIC_shrub swamp,93.8165514427493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.15,0,0.05,,0,0,,,,0.02,0.0526315789473684,,,,,,,,
,TX_PUBLIC_woody wetlands,78.8453974076486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.767863997854,0.15,2760,0.05,,-3.7e-05,-3.7e-05,,,,0.02,0.0526315789473684,,,,,,,,
